store_id,city,latitude,longitude,population,store_type,monthly_demand,demand_variability,priority_level,region,delivery_sla_hours,transport_cost_factor,cluster
S1,Delhi,28.66,77.23,29617000.0,Hypermarket,56261,Medium,High,North,24,3.0317665108606224,0
S2,Mumbai,18.9667,72.8333,23355000.0,Hypermarket,55131,Medium,High,West/East,24,4.639936184136716,1
S3,Kolkta,22.5411,88.3378,17560000.0,Hypermarket,38379,Medium,High,Central,24,5.268888800804863,2
S4,Bangalore,12.9699,77.598,13707000.0,Hypermarket,28495,Medium,High,South,24,4.22080324639785,3
S5,Chennai,13.0825,80.275,11324000.0,Hypermarket,19531,Medium,High,South,24,4.1186023134240255,-1
S6,Hyderbd,17.3667,78.4667,9746000.0,Regional Hub,16809,Medium,Medium,West/East,48,2.9674091636018067,-1
S7,Pune,18.5196,73.8553,7764000.0,Regional Hub,12783,Low,Medium,West/East,48,2.372411071223597,1
S8,Ahmadbd,23.03,72.58,7410000.0,Regional Hub,16990,Low,Medium,Central,48,5.588863031813308,4
S9,Srat,21.17,72.83,5807000.0,Regional Hub,12083,Low,Medium,Central,48,5.601672228653322,4
S10,Lucknow,26.847,80.947,3382000.0,Regional Hub,7326,Medium,Medium,North,48,4.532405829093072,-1
S11,Jaipur,26.9167,75.8667,3073350.0,Regional Hub,4967,Medium,Medium,North,48,3.3561191641948027,-1
S12,Cawnpore,26.4725,80.3311,2701324.0,Regional Hub,6418,Medium,Medium,North,48,3.396838298450644,-1
S13,Mirzpur,25.15,82.58,2496970.0,Regional Hub,5658,High,Medium,Central,48,4.903822715480958,5
S14,Ngpur,21.1539,79.0831,2405665.0,Regional Hub,4257,Low,Medium,Central,48,5.588441039810308,6
S15,Ghzibd,28.6667,77.4167,2381452.0,Regional Hub,4156,Medium,Medium,North,48,5.548345697060469,0
S16,Indore,22.7206,75.8472,2201927.0,Regional Hub,3846,Medium,Medium,Central,48,5.119502183430496,-1
S17,Vadodara,22.3,73.2,2065771.0,Regional Hub,3808,Low,Medium,Central,48,4.568126584617151,4
S18,Visakhapatnam,17.7333,83.3167,2035922.0,Regional Hub,4112,Low,Medium,West/East,48,2.3365598599801958,-1
S19,Bhopl,23.25,77.4167,1883381.0,Regional Hub,3664,Low,Medium,Central,48,2.646514856378455,-1
S20,Chinchvad,18.6278,73.8131,1729320.0,Regional Hub,3169,Low,Medium,West/East,48,5.5942167541083165,1
